Category,Sub-Category,Feature / Item,Description,Status,Phase,Priority,Notes
FOUNDATION,Architecture,OLX Dual-Role Model,Any user can hire AND work — no role at signup,To Do,Week 1,P0,Core change
FOUNDATION,Architecture,Local Expert Naming,Rename Worker → Local Expert everywhere (app + backend + notifications),To Do,Week 1,P0,All strings updated
FOUNDATION,Architecture,Customer Naming,Keep Customer as is,To Do,Week 1,P0,
FOUNDATION,Architecture,Backend-Heavy Architecture,All business logic in backend — mobile/web are thin clients only,To Do,Week 1,P0,No logic in frontend
FOUNDATION,Architecture,Plain English Language,No jargon anywhere — simplest possible words in all labels,To Do,Week 1,P0,See word-swap table in plan
FOUNDATION,Architecture,Respectful Naming,Dignified language for Local Experts throughout,To Do,Week 1,P0,
FOUNDATION,Security,Security from Day 1,All endpoints secured before go-live — not added later,To Do,Week 1,P0,Non-negotiable
FOUNDATION,Dev Environment,Dev Cluster Separation,All dev work on kaamnow-dev MongoDB — never touch prod,To Do,Week 1,P0,URL in plan
SCHEMA,Users Collection,is_worker field,Boolean — True when Local Expert profile created,To Do,Week 1,P0,Replaces role logic
SCHEMA,Users Collection,is_customer field,Boolean — True by default for everyone,To Do,Week 1,P0,
SCHEMA,Users Collection,gender field,male / female / other / null,To Do,Week 1,P0,
SCHEMA,Users Collection,saved_workers field,List of saved Local Expert IDs,To Do,Week 1,P0,
SCHEMA,Users Collection,referral_code field,Unique 8-char code generated at signup,To Do,Week 1,P0,
SCHEMA,Users Collection,referred_by field,user_id of referrer,To Do,Week 1,P0,
SCHEMA,Users Collection,referral_count field,How many users referred,To Do,Week 1,P0,
SCHEMA,Users Collection,wallet_balance field,In rupees — credits only,To Do,Week 1,P0,
SCHEMA,Users Collection,saved_addresses field,List of SavedAddress objects,To Do,Week 1,P0,
SCHEMA,Users Collection,emergency_contact field,Name + phone of emergency contact,To Do,Week 1,P0,
SCHEMA,Users Collection,tc_accepted_at field,Timestamp of T&C acceptance at signup,To Do,Week 1,P0,Legal requirement
SCHEMA,Users Collection,tc_version field,Version of T&C accepted,To Do,Week 1,P0,
SCHEMA,Users Collection,preferred_language field,en / hi / bho / mai — already exists,To Do,Week 1,P0,
SCHEMA,Workers Collection,gender field,Mirrored from users.gender,To Do,Week 1,P0,
SCHEMA,Workers Collection,certifications field,List of Certification objects,To Do,Week 1,P0,
SCHEMA,Workers Collection,portfolio field,List of PortfolioItem objects — max 6,To Do,Week 1,P0,
SCHEMA,Workers Collection,video_url field,30-second intro video URL (Cloudinary),To Do,Week 1,P0,
SCHEMA,Workers Collection,response_time_minutes field,Rolling avg mins from request to accept,To Do,Week 1,P0,
SCHEMA,Workers Collection,available_from field,ISO date — free from this date,To Do,Week 1,P0,
SCHEMA,Workers Collection,team_size field,1 = solo / 2+ = brings helpers,To Do,Week 1,P0,
SCHEMA,Workers Collection,is_kyc_verified field,DigiLocker verified — default False,To Do,Week 1,P0,
SCHEMA,Workers Collection,kyc_doc_type field,aadhaar / driving_licence / voter_id,To Do,Week 1,P0,
SCHEMA,Workers Collection,is_available_now field,Broadcasting availability to pincode,To Do,Week 1,P0,
SCHEMA,Workers Collection,available_now_expires_at field,Auto-expires 4 hours after broadcast,To Do,Week 1,P0,
SCHEMA,Jobs Collection,recurrence field,once / weekly / monthly,To Do,Week 1,P0,
SCHEMA,Jobs Collection,is_template field,True = saved template not a real job,To Do,Week 1,P0,
SCHEMA,Jobs Collection,template_name field,Human name for template — max 60 chars,To Do,Week 1,P0,
SCHEMA,Jobs Collection,photo_url field,Job site photo from photo-to-job AI,To Do,Week 1,P0,
SCHEMA,Jobs Collection,ai_generated field,True if AI filled the form,To Do,Week 1,P0,
SCHEMA,Jobs Collection,is_anonymous field,Customer hidden until Local Expert selected,To Do,Week 1,P0,
SCHEMA,Engagements Collection,chat_enabled field,Always True for accepted engagements,To Do,Week 1,P0,
SCHEMA,Engagements Collection,payment_status field,unpaid / paid,To Do,Week 1,P0,
SCHEMA,Engagements Collection,payment_id field,Razorpay payment_id,To Do,Week 1,P0,
SCHEMA,Engagements Collection,payment_amount field,Amount in rupees,To Do,Week 1,P0,
SCHEMA,Engagements Collection,before_photos field,List of photo URLs uploaded before job,To Do,Week 1,P0,
SCHEMA,Engagements Collection,after_photos field,List of photo URLs uploaded after job,To Do,Week 1,P0,
SCHEMA,Engagements Collection,start_otp field,4-digit OTP for job start verification,To Do,Week 1,P0,
SCHEMA,Engagements Collection,otp_verified_at field,Timestamp when OTP was verified,To Do,Week 1,P0,
SCHEMA,Engagements Collection,checkin_lat / checkin_lng fields,GPS coords at job site check-in,To Do,Week 1,P0,
